gene_id	AGI_LocusCode
1006229688	AT1G03960
2024223	AT1G03970
2024171	AT1G03980
1009021330	AT1G03982
2024156	AT1G03990
2024136	AT1G04000
2024116	AT1G04010
2024243	AT1G04020
1006229687	AT1G04020
2024176	AT1G04030
2024101	AT1G04040
2024228	AT1G04050
3433621	AT1G04070
3433617	AT1G04080
5019473861	AT1G04080
6530296063	AT1G04080
2020209	AT1G04090
2020254	AT1G04100
2020244	AT1G04110
2020234	AT1G04120
6530296064	AT1G04120
2020224	AT1G04130
2020284	AT1G04140
1005715579	AT1G04140
2020279	AT1G04150
2020269	AT1G04160
2020259	AT1G04170
4515100486	AT1G04171
2020249	AT1G04180
2020239	AT1G04190
2020229	AT1G04200
2020219	AT1G04210
2020214	AT1G04220
3433531	AT1G04230
2018378	AT1G04240
2018373	AT1G04250
2018358	AT1G04260
2018323	AT1G04270
1009021290	AT1G04270
2018303	AT1G04280
2018293	AT1G04290
4010711658	AT1G04295
4010711659	AT1G04300
4010711660	AT1G04300
6530296065	AT1G04300
2018278	AT1G04300
2018258	AT1G04310
1005715628	AT1G04320
2018248	AT1G04330
2018363	AT1G04340
2018348	AT1G04350
2018333	AT1G04360
2018288	AT1G04370
2018273	AT1G04380
2018263	AT1G04390
2018253	AT1G04400
1005715629	AT1G04400
2018243	AT1G04410
2018238	AT1G04420
4515100487	AT1G04425
4515100488	AT1G04430
2018328	AT1G04430
2018268	AT1G04440
504954138	AT1G04445
2018368	AT1G04450
5019473862	AT1G04457
2018338	AT1G04470
2018308	AT1G04480
2018298	AT1G04490
4010711661	AT1G04490
2018343	AT1G04500
4515100489	AT1G04501
1009021294	AT1G04510
2018318	AT1G04510
2018313	AT1G04520
2197767	AT1G04530
2197867	AT1G04540
2197837	AT1G04550
1005715220	AT1G04550
4010711662	AT1G04555
2197822	AT1G04560
2197802	AT1G04570
2197797	AT1G04580
2197782	AT1G04590
1005715219	AT1G04590
2197772	AT1G04600
2197862	AT1G04610
2197847	AT1G04620
1006229895	AT1G04625
2197832	AT1G04630
504954008	AT1G04635
1009021193	AT1G04640
2197817	AT1G04640
3692152	AT1G04645
2197857	AT1G04650
2197842	AT1G04660
2197827	AT1G04670
2197807	AT1G04680
4515100490	AT1G04684
2197792	AT1G04690
2197787	AT1G04700
2197777	AT1G04710
1005715218	AT1G04720
2197852	AT1G04730
3433198	AT1G04750
1009021192	AT1G04750
2010626	AT1G04760
2010611	AT1G04770
4010711663	AT1G04778
2010596	AT1G04780
2010581	AT1G04790
2010681	AT1G04800
2010671	AT1G04810
2010676	AT1G04820
2010661	AT1G04830
